119접수일자,승강기고유번호,등록일시
2021-06-14,2160139,2021-06-15
2021-06-15,6026628,2021-06-16
2021-06-19,2072986,2021-06-21
2021-06-19,7045630,2021-06-21
2021-06-18,2102954,2021-06-21
2021-06-21,2196751,2021-06-23
2021-06-27,2148842,2021-06-28
2021-06-27,6033929,2021-06-28
2021-06-27,2190088,2021-06-28
2021-06-26,6017293,2021-06-28
2021-06-24,2001090,2021-06-28
2021-06-24,2181226,2021-06-28
2021-06-23,2083863,2021-06-28
2021-06-23,2014197,2021-06-28
2021-06-23,2171162,2021-06-28
2021-06-23,2161128,2021-06-28
2021-06-28,8043591,2021-06-29
2021-06-28,2180246,2021-06-29
2021-06-28,2196597,2021-06-29
2021-06-28,6058162,2021-06-29
2021-07-01,2051853,2021-07-02
2021-06-30,2027548,2021-07-02
2021-07-02,2195056,2021-07-08
2021-07-03,2210891,2021-07-08
2021-07-04,8000820,2021-07-08
2021-07-04,2208651,2021-07-08
2021-07-07,6004751,2021-07-15
2021-07-07,2056826,2021-07-15
2021-07-08,2119956,2021-07-15
2021-07-10,6059331,2021-07-15
2021-07-10,6044251,2021-07-15
2021-07-10,2146173,2021-07-15
2021-07-11,2144413,2021-07-15
2021-07-13,2180381,2021-07-15
2021-07-13,8061426,2021-07-15
2021-07-17,2127191,2021-07-19
2021-07-16,2113464,2021-07-19
2021-07-16,2128916,2021-07-19
2021-07-22,2181645,2021-07-23
2021-07-22,2011941,2021-07-23
2021-07-22,8002444,2021-07-23
2021-07-25,2179613,2021-07-27
2021-07-26,2098027,2021-07-27
2021-07-26,8036144,2021-07-27
2021-07-28,2028381,2021-07-29
2021-07-31,2108405,2021-08-02
2021-07-31,2023021,2021-08-02
2021-07-31,2101373,2021-08-02
2021-08-01,6014168,2021-08-02
2021-08-01,6004583,2021-08-02
2021-08-01,2132343,2021-08-02
2021-08-02,6014853,2021-08-03
2021-08-03,2104158,2021-08-04
2021-08-04,6012104,2021-08-05
2021-08-04,2232728,2021-08-05
2021-08-05,6061414,2021-08-06
2021-06-11,29074,2021-06-11
2021-06-10,8019680,2021-06-11
2021-06-11,8088381,2021-06-11
2021-06-14,8088381,2021-06-14
2021-06-14,2201325,2021-06-15
2021-06-17,4004395,2021-06-18
2021-06-18,2143231,2021-06-21
2021-06-21,2024376,2021-06-23
2021-06-27,2210992,2021-06-28
2021-06-26,6056156,2021-06-28
2021-06-25,2114136,2021-06-28
2021-06-24,2184984,2021-06-28
2021-06-24,2005308,2021-06-28
2021-06-23,2208639,2021-06-28
2021-06-23,2180991,2021-06-28
2021-06-30,2239019,2021-07-02
2021-06-30,2016997,2021-07-02
2021-06-30,2240458,2021-07-02
2021-06-30,2103599,2021-07-02
2021-06-29,6058269,2021-07-02
2021-06-29,2132034,2021-07-02
2021-07-02,2056838,2021-07-08
2021-07-02,2024466,2021-07-08
2021-07-04,6034018,2021-07-08
2021-07-04,2136569,2021-07-08
2021-07-04,2105224,2021-07-08
2021-07-04,2005079,2021-07-08
2021-07-06,8052754,2021-07-08
2021-07-06,2232273,2021-07-08
2021-07-08,2148970,2021-07-15
2021-07-08,2205498,2021-07-15
2021-07-09,6033107,2021-07-15
2021-07-09,2190087,2021-07-15
2021-07-09,2143754,2021-07-15
2021-07-10,2022155,2021-07-15
2021-07-10,2166233,2021-07-15
2021-07-10,2117334,2021-07-15
2021-07-13,2158960,2021-07-15
2021-07-14,2100271,2021-07-15
2021-07-17,2051597,2021-07-19
2021-07-17,7027831,2021-07-19
2021-07-16,6033664,2021-07-19
2021-07-16,36126,2021-07-19
2021-07-19,2016186,2021-07-20
2021-07-19,2052914,2021-07-20
2021-07-19,2156938,2021-07-20
2021-07-19,6042729,2021-07-20
2021-07-19,2143231,2021-07-20
2021-07-20,6041106,2021-07-21
2021-07-21,6028164,2021-07-22
2021-07-21,2165847,2021-07-22
2021-07-21,6055120,2021-07-22
2021-07-23,2115279,2021-07-26
2021-07-24,6020868,2021-07-26
2021-07-24,2043415,2021-07-26
2021-07-25,6035975,2021-07-26
2021-08-01,2127732,2021-08-02
2021-08-03,7067674,2021-08-04
2021-08-08,2238470,2021-08-09
2021-08-08,2085841,2021-08-09
2021-08-09,6036545,2021-08-10
2021-08-09,2103471,2021-08-10
2021-08-10,2150596,2021-08-11
2021-08-14,2104536,2021-08-17
2021-08-15,2010003,2021-08-17
2021-08-23,2011953,2021-08-23
2021-08-21,2210574,2021-08-23
2021-08-23,2116423,2021-08-23
2021-08-21,2116423,2021-08-23
2021-08-21,2164208,2021-08-23
2021-08-22,6019327,2021-08-23
2021-08-22,2086729,2021-08-23
2021-08-30,2052880,2021-08-31
2021-08-30,2065912,2021-08-31
2021-08-30,2057215,2021-08-31
2021-09-01,6059084,2021-09-02
2021-09-01,2156937,2021-09-02
2021-09-02,2027948,2021-09-03
2021-09-06,2239915,2021-09-07
2021-09-12,8035861,2021-09-13
2021-09-14,6047949,2021-09-15
2021-09-16,2010861,2021-09-17
2021-09-20,8036264,2021-09-24
2021-09-21,6036959,2021-09-24
2021-09-21,2160106,2021-09-24
2021-10-01,2145682,2021-10-12
2021-10-01,6002217,2021-10-12
2021-10-01,2082306,2021-10-12
2021-10-02,2051718,2021-10-12
2021-10-02,2144802,2021-10-12
2021-10-03,8049262,2021-10-12
2021-10-03,7046432,2021-10-12
2021-10-03,2142804,2021-10-12
2021-10-04,6027058,2021-10-12
2021-10-12,2000667,2021-10-12
2021-10-07,6016796,2021-10-12
2021-10-07,2165987,2021-10-12
2021-10-08,2164215,2021-10-12
2021-10-09,7028044,2021-10-12
2021-10-10,2006794,2021-10-12
2021-10-11,2119762,2021-10-12
2021-10-11,2114616,2021-10-12
2021-10-17,6011092,2021-10-18
2021-10-18,6001823,2021-10-19
2021-10-18,2004321,2021-10-19
2021-10-18,8035402,2021-10-19
2021-10-22,2132757,2021-10-26
2021-10-23,2168315,2021-10-26
2021-11-01,2011877,2021-11-02
2021-11-02,2000633,2021-11-03
2021-11-02,2166052,2021-11-03
2021-11-12,2051736,2021-11-15
2021-11-12,2007630,2021-11-15
2021-11-15,2004316,2021-11-16
2021-11-15,2086729,2021-11-16
2021-11-17,2184128,2021-11-19
2021-08-09,6033262,2021-08-09
2021-08-09,6033262,2021-08-09
2021-08-08,2056275,2021-08-09
2021-08-08,2011955,2021-08-09
2021-08-09,2128923,2021-08-10
2021-08-09,2025791,2021-08-10
2021-08-10,2161170,2021-08-11
2021-08-11,4007267,2021-08-12
2021-08-11,2013434,2021-08-12
2021-08-12,2187096,2021-08-13
2021-08-19,6014438,2021-08-20
2021-08-19,2246046,2021-08-20
2021-08-23,2215419,2021-08-24
2021-08-31,6037153,2021-09-01
2021-08-31,6042232,2021-09-01
2021-09-05,7045630,2021-09-06
2021-09-05,8111993,2021-09-06
2021-09-10,5014482,2021-09-13
2021-09-10,2051145,2021-09-13
2021-09-10,6001816,2021-09-13
2021-09-15,2232408,2021-09-16
2021-09-17,2070377,2021-09-24
2021-09-19,2016188,2021-09-24
2021-09-19,2057086,2021-09-24
2021-09-21,2117783,2021-09-24
2021-09-22,2005613,2021-09-24
2021-09-22,2088406,2021-09-24
2021-09-23,2005594,2021-09-24
2021-09-24,2048539,2021-09-27
2021-09-28,8026435,2021-09-29
2021-09-28,2170987,2021-09-29
2021-10-01,2241045,2021-10-12
2021-10-03,6003375,2021-10-12
2021-10-12,8038134,2021-10-12
2021-10-05,2088618,2021-10-12
2021-10-05,6036622,2021-10-12
2021-10-08,2000859,2021-10-12
2021-10-09,2176919,2021-10-12
2021-10-23,8035336,2021-10-26
2021-10-24,2066942,2021-10-26
2021-10-28,2166052,2021-10-29
2021-11-11,6003694,2021-11-12
2021-11-13,6033110,2021-11-15
2021-11-13,8020746,2021-11-15
2021-11-16,6058207,2021-11-19
2021-11-16,6040756,2021-11-19
2021-11-17,6045319,2021-11-19
2021-11-18,6028821,2021-11-22
2021-11-19,2004970,2021-11-22
2021-11-19,2180926,2021-11-22
2021-11-19,2149907,2021-11-22
2021-11-19,2007408,2021-11-22
2021-11-19,2100926,2021-11-22
2021-11-19,2119913,2021-11-22
2021-11-20,2044640,2021-11-22
2021-11-20,2177019,2021-11-22
2021-11-22,2000656,2021-11-23
2021-11-22,2000718,2021-11-23
2021-11-22,6028813,2021-11-23
2021-08-10,2065341,2021-08-11
2021-08-12,2015033,2021-08-13
2021-08-12,5077877,2021-08-13
2021-08-12,8091363,2021-08-13
2021-08-22,7012555,2021-08-23
2021-08-26,2215479,2021-08-30
2021-08-27,2185164,2021-08-30
2021-08-28,6024533,2021-08-30
2021-08-29,2068090,2021-08-30
2021-08-29,2008144,2021-08-30
2021-08-31,2000202,2021-09-01
2021-08-31,2218733,2021-09-01
2021-09-06,6019368,2021-09-06
2021-09-05,2103197,2021-09-06
2021-09-05,6002650,2021-09-06
2021-09-06,5033449,2021-09-07
2021-09-13,2230138,2021-09-14
2021-09-13,2129480,2021-09-14
2021-09-18,2052696,2021-09-24
2021-09-21,2001389,2021-09-24
2021-09-23,2065433,2021-09-24
2021-10-02,2239985,2021-10-12
2021-10-02,6002209,2021-10-12
2021-10-03,2211443,2021-10-12
2021-10-03,2076448,2021-10-12
2021-10-04,2225537,2021-10-12
2021-10-04,2165988,2021-10-12
2021-10-05,2108693,2021-10-12
2021-10-09,2192849,2021-10-12
2021-10-12,8007071,2021-10-12
2021-10-10,2085695,2021-10-12
2021-10-10,2200487,2021-10-12
2021-10-17,2147275,2021-10-18
2021-10-17,2054707,2021-10-18
2021-10-17,2042577,2021-10-18
2021-10-19,8059611,2021-10-21
2021-10-21,2182571,2021-10-22
2021-10-25,2020605,2021-10-26
2021-10-27,2015924,2021-10-28
