119접수일자,승강기고유번호,등록일시
2022-09-23,2250962,2022-10-04
2022-09-23,2180259,2022-10-04
2022-09-23,7067804,2022-10-04
2022-09-24,8027653,2022-10-04
2022-10-13,6002915,2022-12-14
2022-12-02,5027232,2023-01-09
2022-12-29,5009205,2023-01-09
2023-01-24,148972,2023-02-14
2023-01-16,119406,2023-02-14
2023-02-15,35222,2023-03-09
2023-02-14,139103,2023-03-09
2023-03-25,104934,2023-04-18
2021-11-28,2129410,2021-11-29
2022-02-12,2072219,2022-02-16
2022-02-16,2083089,2022-02-17
2022-09-13,5034093,2022-09-26
2022-09-17,5014475,2022-09-27
2022-09-18,2161057,2022-09-27
2022-09-21,2014033,2022-09-30
2022-09-21,2142924,2022-09-30
2022-09-21,2234753,2022-09-30
2022-09-21,2261855,2022-09-30
2022-09-22,2016121,2022-09-30
2022-09-22,2015535,2022-09-30
2022-09-22,6025251,2022-09-30
2022-09-22,5046149,2022-09-30
2022-09-24,6012522,2022-10-04
2022-09-25,5089019,2022-10-04
2022-12-24,2021657,2023-01-09
2023-01-16,105420,2023-02-14
2023-02-28,62660,2023-03-09
2023-02-24,141934,2023-03-09
2023-02-24,6066,2023-03-09
2023-02-21,147844,2023-03-09
2023-02-21,90546,2023-03-09
2023-02-20,133825,2023-03-09
2023-02-20,7055332,2023-03-13
2023-02-17,3283,2023-03-13
2023-03-30,130956,2023-04-18
2024-08-01,6049290,2024-08-12
2024-08-12,6066043,2024-08-12
2022-02-08,2022570,2022-02-16
2022-02-08,2145101,2022-02-16
2022-02-09,2087666,2022-02-16
2022-02-12,2191203,2022-02-16
2022-02-18,2158859,2022-02-21
2022-02-19,6003527,2022-02-21
2022-02-21,8052185,2022-02-22
2022-02-21,2201165,2022-02-22
2022-02-21,2243074,2022-02-22
2022-02-25,2084755,2022-02-28
2022-09-14,2056849,2022-09-26
2022-09-12,8066335,2022-09-26
2022-09-12,2100324,2022-09-26
2022-09-12,2111357,2022-09-26
2022-09-13,2017289,2022-09-26
2022-09-26,5034093,2022-09-26
2022-09-13,8025163,2022-09-26
2022-09-14,2110997,2022-09-27
2022-09-16,8067940,2022-09-27
2022-09-16,6041990,2022-09-27
2022-09-19,2017934,2022-09-30
2022-09-19,8075139,2022-09-30
2022-09-22,2248261,2022-09-30
2022-09-22,2195567,2022-09-30
2022-09-23,2005103,2022-10-04
2022-09-24,2258960,2022-10-04
2022-10-12,6051326,2022-12-14
2022-10-29,5078158,2022-12-14
2022-11-18,6051966,2022-12-14
2022-11-30,6032174,2022-12-14
2022-12-30,2058210,2023-01-09
2023-01-20,9004403,2023-02-14
2023-01-17,85138,2023-02-14
2023-01-17,6060637,2023-02-14
2023-02-25,5019490,2023-03-13
2023-03-25,7005034,2023-04-18
2023-03-27,5009736,2023-04-18
2023-03-25,62336,2023-04-18
2024-08-01,7034366,2024-08-12
2021-11-28,2132481,2021-11-29
2021-11-28,2135086,2021-11-29
2022-02-08,6027476,2022-02-16
2022-02-10,2128726,2022-02-16
2022-02-11,6001314,2022-02-16
2022-02-11,6036035,2022-02-16
2022-02-12,6046068,2022-02-16
2022-02-22,2128325,2022-02-22
2022-02-24,2027080,2022-02-28
2022-02-24,2143993,2022-02-28
2022-02-24,2101765,2022-02-28
2022-02-24,2151642,2022-02-28
2022-02-25,2085371,2022-02-28
2022-02-26,2102954,2022-02-28
2022-03-10,53933,2022-04-05
2022-09-26,2087030,2022-09-26
2022-09-13,2144228,2022-09-26
2022-09-18,2205621,2022-09-27
2022-09-20,7067804,2022-09-30
2022-09-20,6062416,2022-09-30
2022-09-20,7057471,2022-09-30
2022-09-20,8072431,2022-09-30
2022-09-23,5094573,2022-10-04
2022-09-24,5093166,2022-10-04
2022-10-21,9004381,2022-12-14
2022-12-08,2060334,2023-01-09
2022-12-12,2071038,2023-01-09
2023-01-13,8100712,2023-02-06
2023-01-23,15852,2023-02-14
2023-01-17,75910,2023-02-14
2023-02-24,74995,2023-03-09
2023-02-21,146530,2023-03-09
2023-02-13,102860,2023-03-09
2023-02-17,155239,2023-03-15
2023-03-24,5071616,2023-04-18
2024-08-02,2018804,2024-08-12
2022-02-07,2117538,2022-02-16
2022-02-07,2216912,2022-02-16
2022-02-10,2102486,2022-02-16
2022-02-11,2104887,2022-02-16
2022-02-11,2202255,2022-02-16
2022-02-13,31324,2022-02-16
2022-02-14,2114018,2022-02-16
2022-02-14,2065599,2022-02-16
2022-02-14,2083102,2022-02-16
2022-02-15,2241045,2022-02-16
2022-02-16,2095037,2022-02-17
2022-02-18,2180437,2022-02-21
2022-02-19,6026517,2022-02-21
2022-02-23,2216963,2022-02-23
2022-02-22,2216963,2022-02-23
2022-02-23,2126787,2022-02-28
2022-02-23,2101448,2022-02-28
2022-02-26,2130198,2022-02-28
2022-02-26,6026323,2022-02-28
2022-09-12,2022072,2022-09-26
2022-09-15,2087030,2022-09-26
2022-09-13,2079670,2022-09-27
2022-09-14,8046463,2022-09-27
2022-09-15,2072488,2022-09-27
2022-09-19,2002823,2022-09-30
2022-09-19,6018806,2022-09-30
2022-09-19,9009448,2022-09-30
2022-09-23,2233985,2022-10-04
2022-09-25,8040203,2022-10-04
2022-12-19,2058474,2023-01-09
2022-12-06,5046469,2023-01-09
2022-12-08,5034728,2023-01-09
2022-12-11,2122012,2023-01-09
2022-12-14,5049678,2023-01-09
2022-12-19,2071038,2023-01-09
2023-02-24,62660,2023-03-09
2023-02-21,73014,2023-03-13
2024-08-12,2259484,2024-08-12
2024-08-01,6066043,2024-08-12
2022-02-12,2129022,2022-02-16
2022-02-26,2076894,2022-02-28
2022-09-12,2216594,2022-09-26
2022-09-14,2076817,2022-09-27
2022-09-14,2059015,2022-09-27
2022-09-14,5011696,2022-09-27
2022-09-15,6028850,2022-09-27
2022-09-15,2120052,2022-09-27
2022-09-16,5071840,2022-09-27
2022-09-21,2260344,2022-09-30
2022-10-26,6030586,2022-12-14
2023-02-23,81917,2023-03-13
2023-02-16,18705,2023-03-13
2023-02-26,5026834,2023-03-15
2023-02-25,5087230,2023-03-15
2023-03-27,50481,2023-04-18
2021-11-28,2065956,2021-11-29
2022-02-15,2164700,2022-02-16
2022-02-15,2119762,2022-02-16
2022-02-19,2083962,2022-02-21
2022-02-21,2133416,2022-02-22
2022-02-25,2076447,2022-02-28
2022-02-25,2188209,2022-02-28
2022-02-26,6001943,2022-02-28
2022-09-17,2199461,2022-09-26
2022-09-12,8057650,2022-09-26
2022-09-12,2065319,2022-09-26
2022-09-13,7039147,2022-09-27
2022-09-13,5077559,2022-09-27
2022-09-14,135305,2022-09-27
2022-09-15,2208396,2022-09-27
2022-09-16,2190103,2022-09-27
2022-09-16,6027241,2022-09-27
2022-09-17,2033684,2022-09-27
2022-09-17,2101928,2022-09-27
2022-09-17,6056490,2022-09-27
2022-09-17,8091505,2022-09-27
2022-09-17,62452,2022-09-27
2022-09-18,2056304,2022-09-27
2022-09-18,2123977,2022-09-27
2022-09-18,2081927,2022-09-27
2022-09-23,2179464,2022-10-04
2022-09-24,6037101,2022-10-04
2022-09-24,2104331,2022-10-04
2022-10-17,8001311,2022-12-14
2022-12-07,2150303,2023-01-09
2022-12-17,2187512,2023-01-09
2022-12-23,2094989,2023-01-09
2022-12-31,2139716,2023-01-09
2023-02-03,6013186,2023-02-03
2023-01-25,95825,2023-02-14
2023-03-27,98380,2023-04-18
2024-08-02,7042272,2024-08-12
